t, a, b, c, d, e, f
1.4150e-02, 20, -10, 7, 6, -17, -18
1.4200e-02, 20, -10, 7, 6, -17, -18
1.4250e-02, 20, -8, 7, 5, -17, -18
1.4300e-02, 20, -8, 7, 5, -17, -18
1.4350e-02, 19, -5, 6, 4, -13, -19
1.4400e-02, 19, -5, 6, 4, -13, -19
1.4450e-02, 20, -4, 4, 5, -14, -19
1.4500e-02, 20, -4, 4, 5, -14, -19
1.4550e-02, 16, -1, 3, 2, -12, -20
1.4600e-02, 16, -1, 3, 2, -12, -20
1.4650e-02, 16, 0, 2, 1, -9, -22
1.4700e-02, 16, 0, 2, 1, -9, -22
1.4750e-02, 14, 2, 1, 1, -9, -22
1.4800e-02, 14, 2, 1, 1, -9, -22
1.4850e-02, 14, 4, -2, 0, -9, -24
1.4900e-02, 14, 4, -2, 0, -9, -24
1.4950e-02, 12, 6, -2, 0, -7, -24
1.5000e-02, 12, 6, -2, 0, -7, -24
1.5050e-02, 10, 8, -3, 0, -5, -23
1.5100e-02, 10, 8, -3, 0, -5, -23
1.5150e-02, 8, 10, -4, -1, -2, -23
1.5200e-02, 8, 10, -4, -1, -2, -23
1.5250e-02, 6, 13, -6, -2, -1, -22
1.5300e-02, 6, 13, -6, -2, -1, -22
1.5350e-02, 5, 14, -6, -4, 2, -19
1.5400e-02, 5, 14, -6, -4, 2, -19
1.5450e-02, 3, 15, -6, -2, 2, -15
1.5500e-02, 3, 15, -6, -2, 2, -15
1.5550e-02, 5, 17, -7, -4, 3, -13
1.5600e-02, 5, 17, -7, -4, 3, -13
1.5650e-02, 2, 17, -10, -4, 7, -9
1.5700e-02, 2, 17, -10, -4, 7, -9
1.5750e-02, 1, 18, -10, -3, 7, -3
1.5800e-02, 1, 18, -10, -3, 7, -3
1.5850e-02, 3, 19, -10, -5, 8, 2
1.5900e-02, 3, 19, -10, -5, 8, 2
1.5950e-02, 2, 20, -10, -5, 9, 7
1.6000e-02, 2, 20, -10, -5, 9, 7
1.6050e-02, 4, 20, -10, -4, 8, 9
1.6100e-02, 4, 20, -10, -4, 8, 9
1.6150e-02, 4, 19, -11, -5, 10, 14
1.6200e-02, 4, 19, -11, -5, 10, 14
1.6250e-02, 6, 18, -11, -5, 10, 19
1.6300e-02, 6, 18, -11, -5, 10, 19
1.6350e-02, 7, 20, -11, -4, 12, 22
1.6400e-02, 7, 20, -11, -4, 12, 22
1.6450e-02, 9, 19, -10, -7, 12, 24
1.6500e-02, 9, 19, -10, -7, 12, 24
1.6550e-02, 10, 20, -10, -5, 15, 26
1.6600e-02, 10, 20, -10, -5, 15, 26
1.6650e-02, 11, 20, -9, -4, 13, 28
1.6700e-02, 11, 20, -9, -4, 13, 28
1.6750e-02, 11, 21, -10, -6, 16, 27
1.6800e-02, 11, 21, -10, -6, 16, 27
1.6850e-02, 12, 20, -8, -3, 13, 26
1.6900e-02, 12, 20, -8, -3, 13, 26
1.6950e-02, 14, 22, -7, -3, 16, 25
1.7000e-02, 14, 22, -7, -3, 16, 25
1.7050e-02, 12, 22, -8, -2, 15, 24
1.7100e-02, 12, 22, -8, -2, 15, 24
1.7150e-02, 13, 22, -5, -1, 14, 23
1.7200e-02, 13, 22, -5, -1, 14, 23
1.7250e-02, 13, 22, -4, 1, 15, 18
1.7300e-02, 13, 22, -4, 1, 15, 18
1.7350e-02, 10, 22, -1, 2, 17, 18
1.7400e-02, 10, 22, -1, 2, 17, 18
1.7450e-02, 8, 21, -1, 4, 19, 16
1.7500e-02, 8, 21, -1, 4, 19, 16
1.7550e-02, 7, 20, 1, 5, 19, 15
1.7600e-02, 7, 20, 1, 5, 19, 15
1.7650e-02, 6, 20, 3, 7, 18, 12
1.7700e-02, 6, 20, 3, 7, 18, 12
1.7750e-02, 5, 19, 6, 10, 22, 14
1.7800e-02, 5, 19, 6, 10, 22, 14
1.7850e-02, 2, 19, 7, 11, 22, 10
1.7900e-02, 2, 19, 7, 11, 22, 10
1.7950e-02, 0, 16, 8, 13, 22, 11
1.8000e-02, 0, 16, 8, 13, 22, 11
1.8050e-02, -1, 15, 11, 15, 24, 9
1.8100e-02, -1, 15, 11, 15, 24, 9
1.8150e-02, -2, 15, 14, 19, 26, 12
1.8200e-02, -2, 15, 14, 19, 26, 12
1.8250e-02, -3, 14, 14, 21, 26, 9
1.8300e-02, -3, 14, 14, 21, 26, 9
